case,no_descriptors_ms,adaptive_204_ms,plus_strip24_ms,plus_tight_bound_ms,204_incremental_speedup,strip24_incremental_speedup,tight_bound_incremental_speedup,total_speedup,strip24_cumulative_over_adaptive_speedup,tight_bound_cumulative_over_adaptive_speedup
netcard_base,6.980762,6.970843,6.5126990000000005,7.058815,1.001422926897077,1.0703462573658018,0.9226334731821135,0.9889424783054946,1.0703462573658018,0.987537284940886
netcard_d10,33.122744,33.405281,16.773017,15.786132,0.9915421456864858,1.9916083671768772,1.0625159475418045,2.0982178534931797,1.9916083671768772,2.1161156513831254
netcard_d20,70.356425,70.2923,25.648109,24.550438,1.0009122620827602,2.7406425947425594,1.0447108520019073,2.865791029878978,2.7406425947425594,2.8631790601862175
netcard_d30,118.36243400000001,96.04841,93.382317,94.053349,1.2323205974986988,1.0285502982325874,0.99286541088505,1.2584605998453071,1.0285502982325874,1.0212120144706385
netcard_d40,157.73333,109.40381099999999,109.37436100000001,98.924594,1.4417535235586996,1.0002692587159434,1.1056336607254613,1.5944804383023294,1.0002692587159434,1.105931362225252
netcard_d50,142.470798,116.297711,116.68865500000001,109.19323,1.2250524690034525,0.9966496828676275,1.0686436787335627,1.3047585276120142,0.9966496828676275,1.0650633835082999
netcard_base_x8,10.167717,10.136369,10.098206,11.394587,1.0030926261662336,1.0037791861247434,0.8862283468457435,0.8923286995834074,1.0037791861247434,0.8895775687174973
netcard_base_x16,21.914423,22.071081999999997,22.223302,18.349219,0.9929020697761896,0.9931504328204691,1.211130675370979,1.194297315869411,0.9931504328204691,1.2028349544468349
leon2_base,9.573257,9.508497,9.106027000000001,9.177197,1.0068107504266972,1.0441981997198118,0.9922449087668055,1.0431569682987083,1.0441981997198118,1.0361003474154473
leon2_d10,42.533879,39.645528,34.951281,34.802526,1.0728543960872459,1.1343082961680289,1.00427425871329,1.222149191124805,1.1343082961680289,1.139156623286482
leon2_d20,86.801683,60.414539,52.34137,53.358223,1.4367681097425902,1.1542406895348747,0.9809428998413233,1.6267723720859293,1.1542406895348747,1.1322442091071885
leon2_d30,874.790527,871.371909,856.568049,103.129178,1.0039232593622662,1.0172827599830307,8.305777914762396,8.4824735730949,1.0172827599830307,8.449324680935593
leon2_d40,77.325898,76.463378,51.616988000000006,48.218737999999995,1.0112801712736257,1.4813607101599962,1.0704757142337489,1.6036483161380126,1.4813607101599962,1.5857606642463353
leon2_d50,126.537919,121.35828,119.17797,112.009806,1.0426805571074345,1.0182945723945456,1.063995861219508,1.1297039385998044,1.0182945723945456,1.0834612105300852
leon2_base_x8,16.280849,16.609809000000002,16.623721,13.409393,0.980194835473424,0.9991631235870719,1.2397071962914354,1.2141376570885796,0.9991631235870719,1.238669714579922
leon2_base_x16,15.956415,16.218601,16.384938000000002,17.832456,0.9838342406968394,0.9898481764166577,0.91882677293582,0.8947962636217915,0.9898481764166577,0.9094990056333239
leon3mp_base,11.726532,11.714375,11.183836000000001,10.978659,1.0010377847729819,1.0474380167949529,1.0186887123463804,1.0681206147308155,1.0474380167949529,1.067013284591497
