case,gpg_setup_ms,gpg_pfxt_ms,gpg_cold_ms,gpg_query_ms,gpg_candidates,gpg_strips,gpg_represented,gpg_promoted,gpg_cold_min_ms,gpg_cold_max_ms,gpg_candidates_min,gpg_candidates_max,adaptive_setup_ms,adaptive_pfxt_ms,adaptive_cold_ms,adaptive_query_ms,adaptive_candidates,adaptive_strips,adaptive_represented,adaptive_promoted,adaptive_cold_min_ms,adaptive_cold_max_ms,adaptive_candidates_min,adaptive_candidates_max,strip24_setup_ms,strip24_pfxt_ms,strip24_cold_ms,strip24_query_ms,strip24_candidates,strip24_strips,strip24_represented,strip24_promoted,strip24_cold_min_ms,strip24_cold_max_ms,strip24_candidates_min,strip24_candidates_max,bound_setup_ms,bound_pfxt_ms,bound_cold_ms,bound_query_ms,bound_candidates,bound_strips,bound_represented,bound_promoted,bound_cold_min_ms,bound_cold_max_ms,bound_candidates_min,bound_candidates_max,adaptive_speedup_vs_gpg,strip24_speedup_vs_gpg,bound_speedup_vs_gpg,excess_reduction_pct,bound_speedup_vs_strip24
leon2_d40,0.0,134.679,134.679,1192.27,2029619,0,0,0,134.303,134.817,2029619,2029619,12.5101,73.0677,85.5778,1164.23,2029631,0,0,0,85.2836,85.99629999999999,2029631,2029631,12.4716,44.5037,56.9435,1112.52,2029631,2504685,64181509,630673,56.9151,56.9888,2029631,2029631,12.458849,39.37005,51.806467,1104.81436,1583854,2504685,64181509,630673,51.61656,52.104255,1583854,1583854,1.5737609520226041,2.365133860756715,2.599656139454559,43.294830866592015,1.0991581417817973
leon2_d50,0.0,149.453,149.453,1358.02,2787391,0,0,0,149.429,150.038,2787391,2787391,15.5809,106.555,122.1359,1334.72,2787358,0,0,0,121.99719999999999,122.5498,2787358,2787358,15.603,103.906,119.509,1323.93,2787358,490,13803,1333,119.0577,119.55239999999999,2787358,2787358,15.570625,96.545073,112.11569800000001,1299.36482,2045352,490,13803,1333,112.040843,112.512495,2045352,2045352,1.2236615114802445,1.2505585353404347,1.3330247473462635,41.51412307998733,1.0659435041826166
leon2_base_x8,0.0,22.9504,22.9504,2499.19,10808015,0,0,0,22.6404,23.3243,10808015,10808015,3.10273,14.2937,17.385199999999998,2499.6,10808122,0,0,0,17.3124,17.47353,10808122,10808122,3.10541,14.5289,17.682380000000002,2498.51,10808122,42192,268366,186928,17.544719999999998,17.68721,10808122,10808122,3.116685,10.612749,13.729434000000001,2430.85185,1771342,42192,268366,186928,13.712496999999999,13.732333,1771342,1771342,1.3201113590870397,1.2979248268615422,1.6716202576158636,92.13568102028094,1.2879176228240727
leon2_base_x16,0.0,8.56844,8.56844,4334.61,1182377,0,0,0,8.4817,8.60246,1182377,1182377,6.50228,9.93045,16.43263,4332.87,1182354,0,0,0,16.41631,16.48503,1182354,1182354,6.52524,10.2366,16.76856,4337.31,1182354,52560,376077,16954,16.755000000000003,16.94414,1182354,1182354,6.530326,11.868491,18.398817,4352.73754,1178994,52560,376077,16954,18.253607000000002,18.524803,1178994,1178994,0.5214284019052338,0.5109824576469297,0.46570602881696144,1.8425699463680556,0.9113933792591121
leon3mp_base,0.0,14.1597,14.1597,6015.18,3898205,0,0,0,14.0612,14.3779,3898205,3898205,0.647271,11.9276,12.595925,6133.07,3898207,0,0,0,12.562071,12.600197000000001,3898207,3898207,0.637137,11.2349,11.872036999999999,6053.0,3898207,34544,671465,190422,11.833471000000001,11.942266,3898207,3898207,0.638261,10.744799,11.383666,6106.38833,1946414,34544,671465,190422,11.358195,11.500408,1946414,1946414,1.1241492784372724,1.192693385305319,1.2438611603678464,67.34484458839552,1.0429010303007835
leon3mp_d10,0.0,84.0857,84.0857,533.335,1100734,0,0,0,84.0069,84.118,1100734,1100734,3.2403,74.681,77.94187,531.448,1100733,0,0,0,77.905,78.10238,1100733,1100733,3.2338,33.4615,36.716770000000004,632.354,18335880,9391941,157973388,5832533,36.4868,36.73977,18335880,18335880,3.239224,21.335358,24.550283999999998,522.676751,6503347,9391941,157973388,5832533,24.384417,24.627915,6503347,6503347,1.078825796712345,2.290117022820907,3.4250398080934628,68.25458528785387,1.495574144885656
leon3mp_d20,0.0,91.7478,91.7478,685.643,2413552,0,0,0,91.7082,92.0973,2413552,2413552,5.39639,61.1507,66.56684,666.402,2413444,0,0,0,66.41051,66.59409,2413444,2413444,5.40476,29.1703,34.55042,688.735,9073472,10901033,268800102,3809941,34.48026,34.60228,9073472,9073472,5.4102,22.617352,27.97766,639.182061,4262236,10901033,268800102,3809941,27.97531,28.147821,4262236,4262236,1.3782808377264115,2.655475678732704,3.2793235745948732,59.59314654215684,1.234928868247023
leon3mp_d30,0.0,125.008,125.008,861.9,2497951,0,0,0,124.842,125.366,2497951,2497951,7.80318,83.6733,91.47648,799.811,2497881,0,0,0,91.3871,91.58157,2497881,2497881,7.80373,25.4018,33.213860000000004,751.982,3491491,3728942,100302593,1404530,33.00153,33.379940000000005,3491491,3491491,7.813694,21.66073,29.477612,759.969811,1950593,3728942,100302593,1404530,29.438792,29.482593,1950593,1950593,1.366558923124283,3.76372996092595,4.24077771293007,61.84642047673461,1.126748666072408
leon3mp_d40,0.0,214.129,214.129,1084.08,4564640,0,0,0,213.145,214.751,4564640,4564640,10.3592,70.1639,80.5231,941.733,1913577,0,0,0,80.5082,80.93279999999999,1913577,1913577,10.3521,53.4505,63.8026,916.782,1913577,477274,12569594,155331,63.2357,64.1264,1913577,1913577,10.324656,50.675955,61.000611,920.213751,1663113,477274,12569594,155331,60.917184,61.233187,1663113,1663113,2.659224495827905,3.356117148830925,3.5102763151011716,27.41575149111679,1.0459337858107682
leon3mp_d50,0.0,153.543,153.543,1115.34,2497504,0,0,0,153.328,153.89,2497504,2497504,13.0044,71.9512,84.9281,1054.11,1078487,0,0,0,84.68520000000001,85.4625,1078487,1078487,12.9955,71.4724,84.46789999999999,1055.06,1078487,85,2283,313,84.13900000000001,84.7267,1078487,1078487,12.983752,72.645409,85.67774200000001,1059.91835,1078031,85,2283,313,85.598463,85.83957099999999,1078031,1078031,1.807917520820553,1.8177674595911586,1.7920990494824198,0.5809879343075974,0.9858791563391105
leon3mp_base_x8,0.0,10.247,10.247,1841.66,3416122,0,0,0,9.91756,10.4759,3416122,3416122,2.73879,8.85439,11.60108,1833.16,3416102,0,0,0,11.52111,11.62355,3416102,3416102,2.72729,9.24844,11.95955,1834.76,3416102,10330,48039,7411,11.91858,12.03749,3416102,3416102,2.721731,9.504967,12.226698,1838.48582,2108690,10330,48039,7411,12.216626,12.327074000000001,2108690,2108690,0.8832798325673127,0.8568048128901171,0.8380840027291097,54.112450550514836,0.9781504376733603
leon3mp_base_x16,0.0,56.4883,56.4883,3502.05,32216088,0,0,0,52.264,56.5027,32216088,32216088,5.82576,22.1904,28.02843,3492.21,32215553,0,0,0,27.85588,28.04756,32215553,32215553,5.78946,22.4832,28.26353,3489.25,32215553,134044,607407,46661,28.160559999999997,28.50929,32215553,32215553,5.796962,11.99763,17.792564,3242.46823,3397905,134044,607407,46661,17.780696,17.872664999999998,3397905,3397905,2.015392942094866,1.9986286214071634,3.1748262926017863,92.3182363612139,1.5885023653701627
des_perf_base,0.0,25.0245,25.0245,665.57,1045966,0,0,0,24.8918,25.1112,1045966,1045966,0.389917,25.7649,26.154817,673.723,1045966,0,0,0,26.026567,26.743818,1045966,1045966,0.390254,26.9795,27.36523,674.089,1045966,4029,25890,25701,27.053846,27.369854,1045966,1045966,0.385239,27.944336,28.330056,675.715236,1016087,4029,25890,25701,28.297409,28.634494999999998,1016087,1016087,0.9567836012769655,0.914463353679103,0.8833198211821396,65.00239307314102,0.9659433782975932
des_perf_d10,0.0,78.6214,78.6214,375.484,13820333,0,0,0,78.4847,78.7478,13820333,13820333,0.573665,42.2258,42.799465,342.749,13820327,0,0,0,42.288138000000004,42.872774,13820327,13820327,0.58422,27.9162,28.50042,325.179,13820327,3082900,51625075,3315073,28.462461,28.588371000000002,13820327,13820327,0.590834,14.70479,15.295623999999998,230.202623,3780932,3082900,51625075,3315073,15.287679,15.320056,3780932,3780932,1.8369715602753445,2.758604960909348,5.140123737351284,78.30841600218153,1.8633054787434629
