case,pfxt_ms_0,setup_ms_0,cold_setup_pfxt_ms_0,query_ms_0,descriptors_0,represented_0,promoted_0,pfxt_ms_1,setup_ms_1,cold_setup_pfxt_ms_1,query_ms_1,descriptors_1,represented_1,promoted_1,pfxt_ms_speedup,cold_setup_pfxt_ms_speedup,query_ms_speedup
netcard_base_x8,8.473141,3.235993,11.776886,2086.90707,0,0,0,8.651661,3.234569,11.872056,2079.36246,1107,8871,28,0.9793658119521789,0.9919836968424002,1.003628328463716
netcard_d10,29.649139,3.695364,33.3341,567.825008,0,0,0,12.573364,3.705318,16.25974,569.690964,3478895,72062747,2025843,2.3580911997775615,2.0501004321102303,0.9967246171733207
netcard_d20,66.485732,6.329566,72.815298,752.932382,0,0,0,18.78878,6.31667,25.065559999999998,705.334587,7627528,187069083,2163854,3.5385869651994435,2.9049938640908084,1.0674825761805438
netcard_d30,88.197257,9.128679,97.28672599999999,966.581625,0,0,0,84.495818,9.153689,93.606463,961.675489,3172,86938,7842,1.0438061798514098,1.0393163343860132,1.0051016544105764
netcard_d40,87.480981,11.788853,99.261244,1098.37196,0,0,0,87.028665,11.799434,98.82809900000001,1103.17293,40,1036,187,1.0051973220547505,1.004382812220237,0.9956480349821492
netcard_d50,93.671752,14.684107,108.291062,1239.29371,0,0,0,94.048119,14.725911,108.77403,1233.01926,46,1232,171,0.9959981443116369,0.9955598960523941,1.0050886877468563
nlpkkt120,7.391833,2.348965,9.740798,45317.0603,0,0,0,3.891859,2.370816,6.265625,45380.8037,720812,18227437,213150,1.8993064753887536,1.5546410773067332,0.9985953664368443
vga_lcd_base,9.059102,0.414097,9.473199,1305.9326,0,0,0,9.157056,0.408832,9.565888000000001,1307.55601,1934,20851,17799,0.9893028938558417,0.9903104656880781,0.9987584394185914
vga_lcd_base_x16,14.422255,1.036194,15.461698,517.153795,0,0,0,9.913658,1.032431,10.946089,504.551603,82801,2181833,72,1.4547864168806308,1.4125317270853543,1.0249770131044453
vga_lcd_base_x8,14.044506,0.665539,14.73089,373.478532,0,0,0,10.456235,0.671737,11.129624,369.571583,49553,1324736,24,1.3431704624083143,1.3235748125902547,1.0105715622621343
vga_lcd_d10,36.331154,0.612632,36.943785999999996,247.849273,0,0,0,15.310519,0.61417,15.924688999999999,227.913945,3089411,52957717,1499694,2.372953784257738,2.3199062788604534,1.0874686627884924
vga_lcd_d20,60.900596,0.940859,61.844986,309.322911,0,0,0,23.152872,0.954838,24.108311999999998,268.684975,5908819,132322277,3609825,2.6303689667528074,2.565297230266474,1.1512475195161171
vga_lcd_d30,45.76495,1.272299,47.037248999999996,283.399161,0,0,0,19.731691,1.273034,20.997073,255.231591,2089676,52603442,868452,2.3193627956164526,2.240181238594541,1.1103608291185239
vga_lcd_d40,81.116586,1.717573,82.83266499999999,353.447348,0,0,0,24.757425,1.728994,26.489609,289.392418,7951347,206781706,3098210,3.276454881717303,3.1269870763286836,1.2213428065693137
vga_lcd_d50,57.566887,2.349127,59.910721,326.97931,0,0,0,22.301163,2.373098,24.674260999999998,287.919761,3985885,106059287,1290283,2.58134013010891,2.428065464655659,1.1356612302828357
