avg_deg,runtime
1.30,2.94
10.00,7669.19
20.00,36546.91
30.00,2120.91
40.00,2078.22
50.00,3448.49
60.00,5637.81
70.00,9637.03
80.00,10901.42
90.00,16724.31
100.00,20099.74
