avg_deg,runtime
1.25,13.92
10.00,24905.91
20.00,1025.47
30.00,939.41
40.00,1185.29
50.00,26480.87
60.00,31890.52
70.00,44394.76
80.00,47540.40
90.00,1519.71
100.00,1709.96
100.00,1708.01
1.25,14.26
1.25,14.07
1.25,14.09
1.25,13.95
1.25,14.12
